epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9208,2.51678,4.03254,0.02243,0.38176,0.35965,0.28675,0.13455,1.88223,2.78152,0.02189,0.00331395,0.00331395,0.0701744
2,76.3699,1.66003,1.89738,0.01183,0.60941,0.53375,0.55321,0.31617,1.57886,1.92429,0.01492,0.00663413,0.00663413,0.0401613
3,108.113,1.40972,1.41303,0.00951,0.6396,0.58046,0.59282,0.33963,1.53534,1.68322,0.01461,0.0099411,0.0099411,0.0101349
4,139.637,1.36086,1.24009,0.00817,0.70906,0.62146,0.68865,0.40923,1.48246,1.442,0.0132,0.0099406,0.0099406,0.0099406
5,171.301,1.29465,1.13266,0.00767,0.76588,0.64253,0.72858,0.4441,1.35359,1.2928,0.0116,0.0099208,0.0099208,0.0099208
6,202.884,1.26643,1.06463,0.0073,0.74467,0.65931,0.73554,0.46008,1.35688,1.21965,0.01103,0.009901,0.009901,0.009901
7,234.546,1.27246,1.00838,0.00714,0.73949,0.67072,0.73675,0.45602,1.34734,1.18034,0.01136,0.0098812,0.0098812,0.0098812
8,266.283,1.24673,0.98061,0.00723,0.74823,0.68244,0.75531,0.45679,1.32413,1.12613,0.01114,0.0098614,0.0098614,0.0098614
9,298.222,1.2351,0.93772,0.0069,0.73637,0.69333,0.73925,0.45139,1.33075,1.09762,0.01066,0.0098416,0.0098416,0.0098416
10,330.177,1.22545,0.933,0.00728,0.77052,0.66254,0.73881,0.448,1.31261,1.07641,0.01088,0.0098218,0.0098218,0.0098218
11,361.838,1.2178,0.90345,0.00697,0.74946,0.6743,0.74275,0.45301,1.33988,1.06629,0.01102,0.009802,0.009802,0.009802
12,393.607,1.25547,0.89791,0.00685,0.76321,0.67506,0.75242,0.46508,1.33471,1.0137,0.01109,0.0097822,0.0097822,0.0097822
13,425.824,1.2477,0.86599,0.007,0.75475,0.70218,0.75079,0.47212,1.31732,1.00194,0.01082,0.0097624,0.0097624,0.0097624
