epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0924,341.691,9.17931,0.03031,0.00077,0.07188,0.0006,0.00013,409.714,14.8177,0.04332,0.00331361,0.00331361,0.0701775
2,141.45,299.099,8.28266,0.02747,0.00668,0.04098,0.00102,0.0002,342.106,15.7063,0.03493,0.00663378,0.00663378,0.0401644
3,214.149,251.717,7.49782,0.0222,0.05119,0.02582,0.00931,0.00193,280.53,11.0904,0.0266,0.00994075,0.00994075,0.010138
4,304.257,210.237,7.25263,0.0184,0.02486,0.01511,0.00787,0.00182,268.806,10.726,0.02359,0.0099406,0.0099406,0.0099406
5,368.104,191.878,6.83492,0.01525,0.00584,0.35924,0.01344,0.00417,230.949,9.95829,0.01892,0.0099208,0.0099208,0.0099208
6,433.564,181.227,6.65274,0.01409,0.0039,0.39168,0.01183,0.00382,217.591,9.8211,0.01744,0.009901,0.009901,0.009901
7,512.671,178.24,6.4831,0.01253,0.00423,0.42655,0.01603,0.00516,214.996,9.68845,0.01671,0.0098812,0.0098812,0.0098812
8,582.698,152.294,6.59722,0.01262,0.00431,0.4272,0.01917,0.00685,201.602,9.35271,0.01485,0.0098614,0.0098614,0.0098614
9,648.771,151.629,6.44366,0.01177,0.00454,0.44999,0.02011,0.00769,209.011,9.35789,0.0156,0.0098416,0.0098416,0.0098416
10,713.097,150.177,6.36326,0.01127,0.00491,0.47714,0.02822,0.01085,199.19,9.23134,0.01436,0.0098218,0.0098218,0.0098218
11,777.115,144.437,6.35333,0.01118,0.00471,0.4649,0.02351,0.00953,193.626,9.04398,0.0133,0.009802,0.009802,0.009802
12,867.422,146.69,6.29489,0.01086,0.00476,0.456,0.02104,0.00854,188.688,9.07813,0.01325,0.0097822,0.0097822,0.0097822
13,932.964,145.891,6.21033,0.01098,0.00511,0.50156,0.02012,0.00804,196.204,9.08838,0.01399,0.0097624,0.0097624,0.0097624
14,1014.28,146.25,6.13348,0.01014,0.00538,0.51933,0.0292,0.01091,202.441,9.04119,0.01404,0.0097426,0.0097426,0.0097426
15,1079.47,143.158,6.12487,0.00989,0.00506,0.49793,0.02765,0.01173,190.023,8.82285,0.01298,0.0097228,0.0097228,0.0097228
16,1146.72,140.419,6.08081,0.00977,0.00501,0.48343,0.04009,0.01774,184.63,8.79864,0.01283,0.009703,0.009703,0.009703
17,1210.41,138.629,6.09138,0.00974,0.00539,0.52271,0.03936,0.01744,193.79,8.74105,0.01302,0.0096832,0.0096832,0.0096832
18,1274.54,141.421,5.89891,0.00938,0.00579,0.56233,0.04216,0.01937,184.175,8.53565,0.01184,0.0096634,0.0096634,0.0096634
19,1347.91,141.627,5.90314,0.00955,0.00592,0.55938,0.04421,0.02042,187.834,8.56785,0.01121,0.0096436,0.0096436,0.0096436
20,1423.09,135.578,5.89964,0.00896,0.005,0.47887,0.04827,0.02371,186.319,8.55698,0.0118,0.0096238,0.0096238,0.0096238
21,1495.47,129.512,5.85653,0.00945,0.00565,0.5376,0.05656,0.02729,180.915,8.42735,0.0115,0.009604,0.009604,0.009604
22,1560.32,130.861,5.82531,0.00923,0.00619,0.5822,0.05912,0.03094,183.926,8.40125,0.01126,0.0095842,0.0095842,0.0095842
23,1623.94,133.433,5.70212,0.00904,0.02609,0.5054,0.0743,0.03516,181.285,8.29628,0.01111,0.0095644,0.0095644,0.0095644
24,1687.81,129.398,5.74183,0.00898,0.04011,0.44655,0.06095,0.03141,184.13,8.21529,0.01121,0.0095446,0.0095446,0.0095446
25,1752.97,128.107,5.68188,0.00873,0.04673,0.03135,0.05285,0.02585,183.246,8.32826,0.01136,0.0095248,0.0095248,0.0095248
26,1817.1,126.734,5.65637,0.00878,0.1931,0.17921,0.07598,0.0394,176.78,8.0993,0.01036,0.009505,0.009505,0.009505
27,1882.03,130.023,5.49144,0.00852,0.14818,0.08405,0.08261,0.04233,177.132,8.09486,0.01016,0.0094852,0.0094852,0.0094852
28,1945.8,127.118,5.54453,0.00842,0.35084,0.09291,0.0846,0.04411,178.716,8.0744,0.01081,0.0094654,0.0094654,0.0094654
29,2012.22,130.756,5.40193,0.00826,0.63586,0.02809,0.09216,0.04852,177.186,7.94472,0.0104,0.0094456,0.0094456,0.0094456
30,2078.02,125.718,5.42111,0.00855,0.66774,0.03135,0.0811,0.04474,180.527,8.0013,0.01059,0.0094258,0.0094258,0.0094258
31,2143.7,139.07,5.40319,0.00835,0.66123,0.03502,0.10714,0.06058,175.073,7.83335,0.01041,0.009406,0.009406,0.009406
32,2207.71,130.167,5.3426,0.00813,0.62118,0.06026,0.09152,0.04847,176.62,7.83655,0.01016,0.0093862,0.0093862,0.0093862
33,2273.24,128.308,5.39115,0.00817,0.11728,0.07329,0.10068,0.05375,177.452,7.82657,0.01019,0.0093664,0.0093664,0.0093664
34,2344.94,127.608,5.28025,0.00793,0.59743,0.06678,0.07542,0.04083,178.293,7.81628,0.01032,0.0093466,0.0093466,0.0093466
35,2411.75,131.401,5.18282,0.00791,0.64343,0.05456,0.08546,0.04835,176.915,7.67862,0.01045,0.0093268,0.0093268,0.0093268
36,2475.66,123.044,5.2564,0.00818,0.59278,0.11319,0.1006,0.0555,180.138,7.67314,0.00983,0.009307,0.009307,0.009307
37,2539.29,123.923,5.13387,0.00824,0.63667,0.09935,0.10509,0.05697,177.429,7.62584,0.00995,0.0092872,0.0092872,0.0092872
38,2605.36,132.068,5.16645,0.0078,0.59112,0.10627,0.08897,0.04552,181.374,7.84392,0.01014,0.0092674,0.0092674,0.0092674
39,2669.5,128.917,5.0719,0.00806,0.63882,0.10563,0.11649,0.06651,173.745,7.5337,0.00976,0.0092476,0.0092476,0.0092476
40,2733.56,124.193,5.17796,0.00791,0.13102,0.1093,0.12307,0.07035,180.3,7.48302,0.01002,0.0092278,0.0092278,0.0092278
41,2797.25,125.091,4.99383,0.00775,0.58971,0.13925,0.11069,0.06048,175.492,7.471,0.00927,0.009208,0.009208,0.009208
42,2869.48,124.633,4.97132,0.00794,0.63453,0.11441,0.1419,0.08494,175.209,7.31232,0.00998,0.0091882,0.0091882,0.0091882
43,2935.05,123.179,4.92682,0.00775,0.34063,0.15884,0.15339,0.08931,175.478,7.30369,0.00933,0.0091684,0.0091684,0.0091684
44,3003.05,121.096,4.98279,0.0077,0.28763,0.13642,0.15483,0.08908,171.393,7.17867,0.00916,0.0091486,0.0091486,0.0091486
45,3066.69,120,4.97261,0.00776,0.255,0.19014,0.13357,0.07396,178.231,7.28557,0.00953,0.0091288,0.0091288,0.0091288
46,3143.77,127.45,4.85857,0.00756,0.20163,0.22141,0.12342,0.07122,177.607,7.30921,0.00925,0.009109,0.009109,0.009109
