epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1372.81,1.13465,0.58572,0.00577,0.86691,0.76936,0.83942,0.55819,1.25912,0.69484,0.00939,0.0091882,0.0091882,0.0091882
43,1405.43,1.13734,0.58441,0.00591,0.87159,0.74317,0.82977,0.55726,1.26738,0.70751,0.00948,0.0091684,0.0091684,0.0091684
44,1438.01,1.14423,0.58931,0.00559,0.85485,0.7813,0.84618,0.57192,1.23498,0.64643,0.00929,0.0091486,0.0091486,0.0091486
45,1470.09,1.14102,0.58857,0.00569,0.87477,0.74834,0.83555,0.54765,1.27503,0.68302,0.00916,0.0091288,0.0091288,0.0091288
46,1502.23,1.14862,0.59439,0.00569,0.87013,0.76419,0.85379,0.57046,1.26456,0.64951,0.00958,0.009109,0.009109,0.009109
47,1534.5,1.12551,0.57531,0.0058,0.85683,0.75749,0.83446,0.55818,1.26556,0.70088,0.00957,0.0090892,0.0090892,0.0090892
48,1567.39,1.13308,0.58713,0.00577,0.84765,0.76222,0.83985,0.56675,1.23791,0.70082,0.00898,0.0090694,0.0090694,0.0090694
49,1599.61,1.14155,0.59553,0.00574,0.87044,0.75844,0.83921,0.56273,1.25155,0.68869,0.00939,0.0090496,0.0090496,0.0090496
50,1631.91,1.15182,0.59689,0.00575,0.86521,0.75172,0.84227,0.56173,1.2536,0.70153,0.00927,0.0090298,0.0090298,0.0090298
51,1664.09,1.16581,0.59749,0.00585,0.86385,0.75171,0.84406,0.56259,1.24607,0.68644,0.00917,0.00901,0.00901,0.00901
52,1696.13,1.1197,0.59056,0.0059,0.85505,0.77248,0.8426,0.56441,1.26284,0.6873,0.00929,0.0089902,0.0089902,0.0089902
53,1728.41,1.14042,0.58924,0.00582,0.85147,0.75304,0.82964,0.55265,1.27509,0.69682,0.00964,0.0089704,0.0089704,0.0089704
54,1760.55,1.1627,0.60256,0.00563,0.87518,0.77396,0.85676,0.57577,1.23192,0.63161,0.0092,0.0089506,0.0089506,0.0089506
55,1792.86,1.14213,0.59672,0.00577,0.86199,0.76555,0.84175,0.5643,1.23999,0.69072,0.00907,0.0089308,0.0089308,0.0089308
56,1824.99,1.18673,0.61088,0.00591,0.84193,0.77681,0.83572,0.55067,1.30827,0.67387,0.00997,0.008911,0.008911,0.008911
57,1857.2,1.12832,0.57321,0.00567,0.85639,0.76539,0.84445,0.5714,1.22117,0.66334,0.00911,0.0088912,0.0088912,0.0088912
58,1889.38,1.16562,0.58573,0.00559,0.85239,0.77781,0.84997,0.5749,1.2336,0.6556,0.00934,0.0088714,0.0088714,0.0088714
59,1922.04,1.1281,0.56614,0.00568,0.87804,0.77306,0.85366,0.57507,1.23174,0.66806,0.00941,0.0088516,0.0088516,0.0088516
60,1954.29,1.16505,0.58892,0.00573,0.86466,0.75465,0.84053,0.56529,1.24493,0.67255,0.00944,0.0088318,0.0088318,0.0088318
61,1986.32,1.14558,0.59355,0.00585,0.855,0.77849,0.847,0.56844,1.23811,0.6676,0.00919,0.008812,0.008812,0.008812
62,2018.34,1.13521,0.58995,0.00558,0.85269,0.7694,0.8495,0.57397,1.22802,0.66598,0.0091,0.0087922,0.0087922,0.0087922
63,2050.3,1.138,0.57671,0.00575,0.86798,0.7694,0.8433,0.5651,1.2336,0.67719,0.00929,0.0087724,0.0087724,0.0087724
64,2082.19,1.13821,0.58057,0.00568,0.856,0.75455,0.83422,0.5666,1.22974,0.68931,0.00913,0.0087526,0.0087526,0.0087526
65,2114.33,1.14342,0.59885,0.00588,0.86221,0.78425,0.8459,0.55953,1.25058,0.66123,0.00939,0.0087328,0.0087328,0.0087328
66,2146.25,1.14285,0.58263,0.00556,0.86611,0.77644,0.85042,0.57339,1.24258,0.65497,0.00945,0.008713,0.008713,0.008713
67,2178.07,1.11163,0.56957,0.0056,0.86888,0.77132,0.8508,0.57071,1.24053,0.65655,0.00927,0.0086932,0.0086932,0.0086932
68,2210.03,1.15624,0.59179,0.0057,0.8747,0.7781,0.84933,0.56961,1.24385,0.69254,0.00927,0.0086734,0.0086734,0.0086734
69,2242.09,1.14889,0.59712,0.00571,0.86807,0.76998,0.84651,0.56849,1.24158,0.68485,0.00926,0.0086536,0.0086536,0.0086536
