epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2581.76,1.0531,0.91252,0.00592,0.62596,0.51657,0.52949,0.23915,1.93038,1.84483,0.0165,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,2667.39,1.03399,0.87957,0.00578,0.59559,0.54346,0.52167,0.2366,1.92314,1.89637,0.01629,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,2752.62,1.05239,0.89628,0.00584,0.61334,0.5132,0.5137,0.23692,1.93425,1.88684,0.01638,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,2837.99,1.02199,0.86359,0.00575,0.60942,0.54255,0.53541,0.24133,1.94085,1.80988,0.01667,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,2923.28,1.03152,0.87117,0.00587,0.61185,0.54227,0.53391,0.24316,1.96691,1.77897,0.0165,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,3008.76,1.01952,0.85564,0.00571,0.65487,0.52172,0.55721,0.25251,1.97223,1.76323,0.01646,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,3094.03,1.01764,0.85992,0.00561,0.57908,0.51953,0.52233,0.24108,1.92592,1.78925,0.01589,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,3179.43,1.02104,0.83703,0.00572,0.57228,0.52194,0.52669,0.24516,1.89864,1.78297,0.01572,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,3264.8,1.02501,0.85908,0.00564,0.62157,0.52332,0.53251,0.24471,1.9232,1.75334,0.01588,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,3350.43,1.00804,0.81817,0.00566,0.60939,0.54735,0.54559,0.25517,1.91367,1.72287,0.01585,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,3435.81,1.03613,0.83057,0.00569,0.63269,0.51829,0.54091,0.25364,1.89682,1.74232,0.01567,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,3521.05,1.0215,0.82425,0.00567,0.66584,0.51494,0.54869,0.25832,1.91117,1.70394,0.01614,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,3606.46,1.01901,0.82956,0.00577,0.61543,0.56851,0.55751,0.26103,1.91945,1.69873,0.01632,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,3692,1.00712,0.8107,0.00551,0.62475,0.55928,0.55807,0.26302,1.90672,1.70446,0.0161,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
