epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1071.71,1.68121,1.28747,0.01071,0.72353,0.58242,0.65362,0.35376,1.69546,1.2102,0.0148,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1105.46,1.67596,1.26344,0.0106,0.73732,0.59274,0.67404,0.37176,1.67983,1.1086,0.01465,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1139.16,1.67909,1.25057,0.01046,0.77461,0.60112,0.68776,0.38158,1.63807,1.10106,0.01409,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1173.02,1.6824,1.25317,0.01041,0.73685,0.61181,0.6707,0.35735,1.72453,1.1482,0.01513,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1207.07,1.69461,1.25275,0.01031,0.78115,0.59225,0.68112,0.37301,1.72849,1.10179,0.01532,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1240.86,1.67471,1.20679,0.01011,0.75439,0.62286,0.69192,0.3858,1.65579,1.09916,0.01388,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1274.51,1.66999,1.22922,0.01044,0.74682,0.61615,0.67344,0.37979,1.67746,1.10734,0.01479,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1308.3,1.66916,1.19341,0.0101,0.75801,0.62378,0.69829,0.38966,1.63362,1.05575,0.01382,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1342.22,1.6442,1.19671,0.00993,0.75083,0.63332,0.69727,0.38465,1.66145,1.0785,0.01418,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1375.94,1.65174,1.17807,0.01001,0.75076,0.63079,0.69358,0.38777,1.63515,1.0475,0.01376,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1409.75,1.65527,1.17204,0.00994,0.75881,0.62501,0.69885,0.39033,1.60753,1.08603,0.01356,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1443.56,1.64371,1.17605,0.00983,0.78446,0.61794,0.70265,0.40577,1.60099,1.0437,0.01369,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1477.31,1.58682,1.12669,0.00967,0.77826,0.62874,0.72012,0.41081,1.61551,1.01915,0.01374,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1511.04,1.60176,1.13274,0.01008,0.7751,0.62824,0.71388,0.40462,1.61794,1.03587,0.01364,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1545.04,1.59899,1.09798,0.0094,0.77755,0.66166,0.7273,0.40533,1.60542,1.0194,0.01336,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1578.88,1.58943,1.11188,0.00945,0.74561,0.63383,0.70279,0.40334,1.61262,1.05293,0.01362,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
