epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3095.68,1.79479,1.95476,0.01208,0.57617,0.46736,0.48851,0.25802,1.74906,1.77398,0.01625,0.0091882,0.0091882,0.0091882
43,3167.79,1.84652,1.96107,0.01196,0.59861,0.48539,0.51378,0.26411,1.73499,1.75557,0.01638,0.0091684,0.0091684,0.0091684
44,3240.12,1.78465,1.87364,0.01187,0.59876,0.48072,0.51953,0.2709,1.70326,1.67276,0.01543,0.0091486,0.0091486,0.0091486
45,3312.39,1.76783,1.83669,0.01156,0.61717,0.49941,0.5319,0.281,1.71268,1.64362,0.01556,0.0091288,0.0091288,0.0091288
46,3385.5,1.81637,1.85321,0.01193,0.60614,0.49715,0.53165,0.2756,1.72188,1.61954,0.01619,0.009109,0.009109,0.009109
47,3457.68,1.75587,1.81495,0.01149,0.60946,0.49966,0.54321,0.27499,1.70319,1.65322,0.01571,0.0090892,0.0090892,0.0090892
48,3529.63,1.77372,1.80574,0.01139,0.61828,0.51053,0.55024,0.28285,1.71554,1.5778,0.01586,0.0090694,0.0090694,0.0090694
49,3601.5,1.77107,1.80188,0.01152,0.60797,0.49941,0.5427,0.28219,1.71131,1.59435,0.01578,0.0090496,0.0090496,0.0090496
50,3673.41,1.74695,1.79684,0.01141,0.62908,0.51927,0.56321,0.29889,1.69796,1.52815,0.01537,0.0090298,0.0090298,0.0090298
51,3745.49,1.75934,1.74671,0.01138,0.65625,0.51095,0.58251,0.31109,1.68637,1.47314,0.01557,0.00901,0.00901,0.00901
52,3817.6,1.72281,1.72835,0.01117,0.63699,0.5248,0.57687,0.30699,1.68943,1.54197,0.01517,0.0089902,0.0089902,0.0089902
53,3889.75,1.73415,1.7055,0.01131,0.65924,0.53003,0.58262,0.30525,1.71575,1.49902,0.01572,0.0089704,0.0089704,0.0089704
54,3961.99,1.69623,1.68031,0.01125,0.66225,0.53518,0.59143,0.30985,1.69643,1.47174,0.01527,0.0089506,0.0089506,0.0089506
55,4034.31,1.7241,1.68423,0.01125,0.66462,0.53384,0.59783,0.32654,1.66412,1.44929,0.01504,0.0089308,0.0089308,0.0089308
56,4106.47,1.74494,1.69018,0.01072,0.66371,0.51427,0.5911,0.32336,1.62927,1.47598,0.01494,0.008911,0.008911,0.008911
57,4178.54,1.70947,1.66698,0.0109,0.65609,0.5548,0.60393,0.31983,1.68973,1.41337,0.0152,0.0088912,0.0088912,0.0088912
58,4250.83,1.70319,1.61896,0.01066,0.6953,0.55335,0.62106,0.33392,1.67213,1.38093,0.01524,0.0088714,0.0088714,0.0088714
59,4328.61,1.68819,1.58311,0.01117,0.69187,0.56478,0.61293,0.33611,1.64077,1.40951,0.01463,0.0088516,0.0088516,0.0088516
60,4400.75,1.69241,1.6187,0.01079,0.6974,0.56691,0.61985,0.34055,1.64066,1.40693,0.01482,0.0088318,0.0088318,0.0088318
61,4472.88,1.68402,1.60483,0.01057,0.69665,0.55519,0.62281,0.34017,1.63125,1.36766,0.01457,0.008812,0.008812,0.008812
62,4545.05,1.70327,1.60201,0.0105,0.67575,0.57666,0.62974,0.33974,1.63533,1.3602,0.01487,0.0087922,0.0087922,0.0087922
63,4617.31,1.65447,1.57289,0.0107,0.69654,0.55564,0.62918,0.34335,1.64369,1.35009,0.01489,0.0087724,0.0087724,0.0087724
64,4689.39,1.66142,1.54499,0.01049,0.70459,0.58132,0.63863,0.3449,1.60993,1.36304,0.01424,0.0087526,0.0087526,0.0087526
65,4761.51,1.66562,1.54591,0.01064,0.67719,0.57332,0.62498,0.3396,1.63884,1.35601,0.01464,0.0087328,0.0087328,0.0087328
66,4833.44,1.67049,1.52334,0.01073,0.7005,0.58446,0.6538,0.36068,1.60762,1.29815,0.01438,0.008713,0.008713,0.008713
67,4905.27,1.63804,1.47548,0.01039,0.70103,0.58575,0.65418,0.35997,1.59863,1.25143,0.01406,0.0086932,0.0086932,0.0086932
68,4977.41,1.6486,1.50274,0.01039,0.70727,0.59072,0.65203,0.37117,1.5903,1.30278,0.01416,0.0086734,0.0086734,0.0086734
69,5049.21,1.63224,1.47745,0.01048,0.68932,0.58677,0.64511,0.35348,1.626,1.29512,0.01444,0.0086536,0.0086536,0.0086536
70,5121.24,1.63976,1.46106,0.01006,0.71909,0.57635,0.65405,0.35927,1.61838,1.28737,0.01474,0.0086338,0.0086338,0.0086338
71,5193.29,1.64196,1.46803,0.01041,0.7296,0.59797,0.6738,0.37252,1.57686,1.24386,0.01383,0.008614,0.008614,0.008614
72,5265.23,1.651,1.45203,0.01006,0.69645,0.58816,0.65627,0.36733,1.58286,1.25467,0.01378,0.0085942,0.0085942,0.0085942
73,5337.25,1.63279,1.45226,0.01034,0.72724,0.60599,0.6802,0.38047,1.57072,1.24393,0.01403,0.0085744,0.0085744,0.0085744
74,5409.17,1.61153,1.43812,0.01015,0.72712,0.5923,0.66984,0.37992,1.59647,1.23079,0.01462,0.0085546,0.0085546,0.0085546
