epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,185.602,3.56237,6.92263,0.03226,0.00107,0.08109,0.00052,0.00013,3.51429,7.17874,0.04425,0.00331361,0.00331361,0.0701775
2,269.707,3.22005,4.79588,0.02951,0.01675,0.14677,0.00733,0.00164,3.04076,22.3877,0.03602,0.00663378,0.00663378,0.0401644
3,376.758,2.67568,3.48595,0.02274,0.16451,0.26953,0.11256,0.0292,2.36744,4.64249,0.02474,0.00994075,0.00994075,0.010138
4,442.689,2.33218,2.83128,0.01891,0.28721,0.35199,0.21704,0.06576,2.09314,3.47167,0.021,0.0099406,0.0099406,0.0099406
