epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1107.13,1.24033,0.68087,0.00654,0.85199,0.73724,0.82413,0.53684,1.32559,0.72335,0.01025,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1144.25,1.24029,0.66899,0.00667,0.83404,0.74616,0.82012,0.5359,1.3055,0.70512,0.00992,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1182.46,1.23408,0.67483,0.00644,0.83456,0.74489,0.81676,0.52224,1.36318,0.73823,0.01081,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1220.14,1.25814,0.69149,0.00656,0.86061,0.73092,0.82277,0.53201,1.32142,0.74157,0.01019,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1256.67,1.25818,0.70608,0.00653,0.85326,0.73946,0.83012,0.53778,1.3273,0.70272,0.01028,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1293.77,1.24274,0.68103,0.00632,0.86075,0.74342,0.82771,0.54255,1.2931,0.71113,0.00982,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1326.34,1.23828,0.69565,0.00655,0.8551,0.74149,0.82147,0.54082,1.29837,0.7123,0.00979,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1359.65,1.24794,0.69116,0.00639,0.84949,0.75215,0.82139,0.52295,1.34874,0.75036,0.01041,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1393.26,1.24247,0.68395,0.00647,0.8329,0.74504,0.81793,0.52887,1.32759,0.70893,0.01016,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1426.53,1.23884,0.69331,0.00641,0.85471,0.73309,0.82296,0.52413,1.32914,0.74989,0.00982,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1459.77,1.25642,0.70143,0.00652,0.84795,0.74527,0.8275,0.53898,1.3,0.71232,0.00995,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1493.16,1.26432,0.69394,0.00651,0.84055,0.7453,0.82596,0.53712,1.32449,0.73067,0.01036,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1526.17,1.20268,0.67116,0.00629,0.84611,0.74429,0.82793,0.53743,1.31207,0.71947,0.01011,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1559.22,1.2152,0.66638,0.00659,0.83333,0.75648,0.82487,0.53825,1.31022,0.73365,0.01018,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1593.33,1.23074,0.68004,0.00629,0.87509,0.74152,0.83307,0.54405,1.28452,0.72522,0.00989,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1627.65,1.2178,0.66921,0.00637,0.85061,0.74144,0.82473,0.53832,1.29634,0.73829,0.00979,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,1661.21,1.2227,0.67762,0.00637,0.8468,0.75726,0.83339,0.544,1.29063,0.69573,0.00999,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1694.63,1.20531,0.6601,0.00639,0.86047,0.73873,0.82449,0.53417,1.30741,0.68079,0.01015,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,1728.1,1.2087,0.67915,0.00636,0.84263,0.73792,0.81735,0.53946,1.28037,0.74074,0.00967,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
