epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1897.1,1.27379,0.83979,0.00768,0.79636,0.71913,0.79042,0.48449,1.36804,0.88633,0.01207,0.0091882,0.0091882,0.0091882
43,1941.9,1.27409,0.83623,0.00787,0.84732,0.71453,0.81167,0.50582,1.3324,0.84729,0.01144,0.0091684,0.0091684,0.0091684
44,1986.78,1.30515,0.84452,0.00759,0.79183,0.74049,0.80759,0.49427,1.36433,0.85937,0.01172,0.0091486,0.0091486,0.0091486
45,2031.58,1.273,0.83768,0.00759,0.80336,0.7194,0.80466,0.50325,1.36049,0.89556,0.01184,0.0091288,0.0091288,0.0091288
46,2077.22,1.2804,0.82715,0.00753,0.81378,0.7147,0.79547,0.48748,1.38485,0.89355,0.01185,0.009109,0.009109,0.009109
47,2122.36,1.26648,0.80807,0.00757,0.82642,0.70686,0.79571,0.48831,1.32904,0.87031,0.01114,0.0090892,0.0090892,0.0090892
48,2167.88,1.27608,0.82241,0.00772,0.81058,0.71622,0.79642,0.50026,1.32083,0.89581,0.01097,0.0090694,0.0090694,0.0090694
49,2212.92,1.27447,0.83944,0.00751,0.82893,0.74135,0.81641,0.50907,1.34625,0.84329,0.01139,0.0090496,0.0090496,0.0090496
50,2257.85,1.28432,0.82775,0.00746,0.80419,0.73106,0.80787,0.50704,1.33109,0.85721,0.011,0.0090298,0.0090298,0.0090298
51,2302.54,1.30014,0.83752,0.00764,0.84497,0.71211,0.81568,0.51714,1.30431,0.827,0.01094,0.00901,0.00901,0.00901
52,2347.23,1.25069,0.82454,0.00766,0.79619,0.72857,0.80535,0.50743,1.34133,0.8545,0.01151,0.0089902,0.0089902,0.0089902
53,2392.12,1.2789,0.80431,0.00761,0.81836,0.73519,0.81675,0.51223,1.33369,0.8024,0.01116,0.0089704,0.0089704,0.0089704
54,2437.53,1.27867,0.81396,0.00717,0.84179,0.71719,0.81914,0.51362,1.31675,0.80531,0.01099,0.0089506,0.0089506,0.0089506
55,2482.88,1.26295,0.81169,0.00748,0.86008,0.69747,0.81417,0.50457,1.34286,0.849,0.0116,0.0089308,0.0089308,0.0089308
56,2527.9,1.30383,0.84324,0.0076,0.85003,0.70732,0.80487,0.49923,1.34134,0.86695,0.01121,0.008911,0.008911,0.008911
57,2572.84,1.2693,0.7992,0.00741,0.83993,0.7348,0.82001,0.52036,1.30976,0.82093,0.01113,0.0088912,0.0088912,0.0088912
58,2617.78,1.28748,0.80789,0.00724,0.79806,0.73732,0.80037,0.50193,1.31226,0.85877,0.01099,0.0088714,0.0088714,0.0088714
59,2662.78,1.25197,0.77719,0.00731,0.80795,0.74598,0.81223,0.51719,1.29432,0.82148,0.01101,0.0088516,0.0088516,0.0088516
60,2708.03,1.28519,0.79124,0.00727,0.82339,0.71736,0.80196,0.50241,1.33361,0.84531,0.01149,0.0088318,0.0088318,0.0088318
61,2752.96,1.27264,0.80001,0.00759,0.83308,0.74972,0.82527,0.52278,1.30967,0.79713,0.01099,0.008812,0.008812,0.008812
62,2798.71,1.25228,0.78197,0.00719,0.84702,0.73625,0.82609,0.5215,1.27362,0.82248,0.01067,0.0087922,0.0087922,0.0087922
63,2843.79,1.24437,0.77774,0.00711,0.83613,0.74302,0.82278,0.51249,1.30582,0.79739,0.01087,0.0087724,0.0087724,0.0087724
64,2888.73,1.26104,0.78108,0.00728,0.87607,0.73511,0.83163,0.52145,1.33405,0.79647,0.0113,0.0087526,0.0087526,0.0087526
65,2933.38,1.26224,0.7956,0.00739,0.82822,0.74015,0.82813,0.51578,1.30569,0.79397,0.0109,0.0087328,0.0087328,0.0087328
66,2977.85,1.24977,0.77107,0.00703,0.83981,0.72951,0.81543,0.51237,1.3244,0.82611,0.01087,0.008713,0.008713,0.008713
67,3022.26,1.23163,0.77325,0.00717,0.84093,0.73402,0.81946,0.51393,1.28935,0.84071,0.01058,0.0086932,0.0086932,0.0086932
68,3066.63,1.26304,0.80644,0.0072,0.84102,0.72845,0.81998,0.51779,1.31031,0.83403,0.01093,0.0086734,0.0086734,0.0086734
69,3111.09,1.24492,0.79494,0.0072,0.83856,0.72804,0.81971,0.51724,1.32906,0.83451,0.0112,0.0086536,0.0086536,0.0086536
70,3156.68,1.25849,0.76245,0.00688,0.8279,0.74793,0.82139,0.51511,1.32494,0.79204,0.01092,0.0086338,0.0086338,0.0086338
71,3201.67,1.23695,0.75711,0.00708,0.84411,0.75412,0.83276,0.5298,1.27984,0.74747,0.01062,0.008614,0.008614,0.008614
72,3246.64,1.26033,0.77387,0.00706,0.84446,0.7097,0.80689,0.5258,1.31376,0.83147,0.01099,0.0085942,0.0085942,0.0085942
73,3291.28,1.22846,0.74911,0.00718,0.85278,0.74183,0.8188,0.5225,1.29047,0.81196,0.01085,0.0085744,0.0085744,0.0085744
74,3336.02,1.24581,0.75001,0.00717,0.82095,0.74544,0.82496,0.52587,1.27074,0.79467,0.01057,0.0085546,0.0085546,0.0085546
75,3380.45,1.24687,0.76229,0.00689,0.82251,0.74256,0.81846,0.5269,1.27623,0.7977,0.0101,0.0085348,0.0085348,0.0085348
76,3424.05,1.22629,0.75158,0.0068,0.8467,0.72713,0.82708,0.53381,1.26955,0.78898,0.01036,0.008515,0.008515,0.008515
77,3467.7,1.2061,0.74392,0.00702,0.85456,0.75109,0.83346,0.53762,1.29042,0.76028,0.01067,0.0084952,0.0084952,0.0084952
78,3512.25,1.24263,0.74717,0.00687,0.83338,0.75353,0.82805,0.53235,1.29537,0.78556,0.0106,0.0084754,0.0084754,0.0084754
79,3556.37,1.22866,0.75069,0.00716,0.86028,0.74863,0.82956,0.53717,1.26831,0.80467,0.0103,0.0084556,0.0084556,0.0084556
80,3600.79,1.22368,0.74228,0.007,0.83592,0.76131,0.83237,0.53064,1.30465,0.76364,0.01044,0.0084358,0.0084358,0.0084358
81,3644.68,1.21062,0.72715,0.00687,0.82309,0.74588,0.82765,0.53801,1.25237,0.7858,0.01033,0.008416,0.008416,0.008416
82,3688.39,1.22983,0.75036,0.00679,0.85536,0.74641,0.83229,0.54075,1.2815,0.75309,0.01048,0.0083962,0.0083962,0.0083962
83,3732.37,1.24438,0.76185,0.00686,0.84389,0.74876,0.83106,0.53144,1.28501,0.76633,0.01032,0.0083764,0.0083764,0.0083764
84,3776.1,1.22511,0.74421,0.00696,0.84608,0.75427,0.82919,0.52734,1.2949,0.78685,0.01043,0.0083566,0.0083566,0.0083566
85,3819.88,1.23632,0.74104,0.00676,0.86164,0.732,0.82623,0.53663,1.29036,0.76929,0.01045,0.0083368,0.0083368,0.0083368
86,3863.79,1.21289,0.74755,0.007,0.86613,0.75186,0.83937,0.53445,1.27481,0.77747,0.01006,0.008317,0.008317,0.008317
87,3908.32,1.25217,0.76881,0.00675,0.86292,0.74924,0.83526,0.53608,1.27009,0.77672,0.00999,0.0082972,0.0082972,0.0082972
88,3952.6,1.22718,0.75331,0.00682,0.85202,0.74929,0.83722,0.54674,1.24974,0.75674,0.0102,0.0082774,0.0082774,0.0082774
89,3997.15,1.21068,0.74862,0.00692,0.85926,0.75298,0.8341,0.53206,1.27467,0.75944,0.01014,0.0082576,0.0082576,0.0082576
90,4042.14,1.22149,0.74592,0.00698,0.87341,0.7519,0.84075,0.5446,1.25241,0.74538,0.00988,0.0082378,0.0082378,0.0082378
91,4087.17,1.21006,0.7448,0.00679,0.8386,0.74991,0.83762,0.54379,1.24094,0.78842,0.00988,0.008218,0.008218,0.008218
92,4134.22,1.2125,0.73322,0.00686,0.85023,0.74794,0.83167,0.54121,1.24603,0.76161,0.00991,0.0081982,0.0081982,0.0081982
93,4179.63,1.19707,0.73364,0.00667,0.83746,0.73799,0.8207,0.53636,1.26614,0.79629,0.00998,0.0081784,0.0081784,0.0081784
94,4224.75,1.19599,0.74122,0.00693,0.86726,0.72736,0.82765,0.54186,1.24366,0.80489,0.00996,0.0081586,0.0081586,0.0081586
95,4270.15,1.2279,0.75744,0.00683,0.85259,0.73828,0.83285,0.53762,1.25496,0.7897,0.01,0.0081388,0.0081388,0.0081388
96,4315.2,1.22144,0.74947,0.00698,0.84569,0.75462,0.83057,0.54588,1.23808,0.79677,0.00983,0.008119,0.008119,0.008119
97,4360.26,1.21408,0.73259,0.00672,0.82957,0.76253,0.83563,0.54379,1.23201,0.77135,0.01006,0.0080992,0.0080992,0.0080992
98,4404.93,1.1852,0.7343,0.00684,0.8451,0.74648,0.8406,0.54735,1.24213,0.75567,0.0099,0.0080794,0.0080794,0.0080794
99,4449.99,1.1994,0.73439,0.00671,0.85201,0.74513,0.83574,0.53843,1.24073,0.77808,0.0098,0.0080596,0.0080596,0.0080596
100,4495.68,1.19662,0.71675,0.00666,0.87692,0.74021,0.8415,0.54833,1.23963,0.75246,0.01,0.0080398,0.0080398,0.0080398
101,4540.71,1.17709,0.72442,0.00663,0.85333,0.76171,0.84616,0.55548,1.22675,0.72438,0.00976,0.00802,0.00802,0.00802
102,4586.37,1.19496,0.71681,0.00659,0.84871,0.78098,0.851,0.55547,1.24463,0.70393,0.01024,0.0080002,0.0080002,0.0080002
103,4632.01,1.19033,0.71488,0.00663,0.86981,0.73648,0.84078,0.5493,1.23912,0.74462,0.01009,0.0079804,0.0079804,0.0079804
104,4677.54,1.21001,0.72305,0.00679,0.84813,0.76945,0.84666,0.55047,1.22657,0.71796,0.00954,0.0079606,0.0079606,0.0079606
